country,covered,legal_system,min_purchase_age_on_premise,min_purchase_age_off_premise,bac_limit_general_pop_per_l,bac_limit_young_drivers_per_l,bac_limit_prof_drivers_per_l,random_breath_testing,national_alcohol_strategy_written_adopted,primary_legislation_illegal_alcohol,alcohol_per_capita_avg_litres,per_capita_consumption_grams,average_daily_intake_grams_pop_15+_female,average_daily_intake_grams_pop_15+_male,specialist_substance_use_courts,alcohol_treatment_requirements,national_system_monitoring_consumption,national_system_monitoring_health_consequence,national_system_monitoring_social_consequence,national_system_monitoring_policy_response,alcohol_tagging_requirements,driving_penalty_community_service,driving_penalty_detention,driving_penalty_fines,driving_penalty_alcolocks,driving_penalty_license_suspended_revoked,driving_penalty_mandatory_treatment,driving_penalty_penalty_points,driving_penalty_vehicle_impounded,row_type,source_min_purchase_age_on_premise,source_min_purchase_age_off_premise,source_bac_limits,source_random_breath_testing,source_national_alcohol_strategy_written_adopted,source_primary_legislation_illegal_alcohol,source_consumption_litres,source_average_consumptions,source_specialist_substance_use_courts,source_alcohol_tagging_requirements,source_driving_penalties
Australia,yes,common law,18,18,0.05%,Zero tolerance,0.02%,Yes,Yes,No,10,22.3,10.5,34.6,Yes (by state),,yes,yes,no,no,Secure Continuous Remote Alcohol Monitoring (SCRAM) tags,yes,yes,yes,no,yes,yes,yes,yes,policy,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,source,WHO (last updated 2024),WHO (last updated 2024),WHO (last updated 2024),WHO (last updated 2018),WHO (last updated 2024),WHO (last updated 2018),WHO (2024),WHO (last updated 2025),AIJA (2026),SCRAM Systems (2026),WHO (2016)
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyperlink,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/age-limits-on-premise-service-,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/age-limits-off-premise-sales,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/legal-blood-alcohol-concentration-(bac)-limits,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/random-breath-testing-(rbt)-use,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adopted-written-national-policy-on-alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/national-legislation-to-prevent-illegal-alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-recorded-per-capita-(15-)-consumption-(in-litres-of-pure-alcohol)-3-year-average-with-95-ci,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/average-daily-intake-in-grams-of-alcohol--population-15,https://aija.org.au/atjc-problem-solving-courts-2/,"https://www.scramsystems.com/media-room/alcohol-detection-anklets-showing-promise-in-nz/#:~:text=With%20COVID%2D19%2C%20Incidents%20of,the%20early%20days%20of%20abstinence.%E2%80%9D",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/penalties-for-drink-driving
Botswana,yes,civil law,18,18,None,None,None,Yes,Yes,Yes,4.5,15.8,5.3,26.8,No,,no,yes,yes,no,No,no,yes,yes,no,yes,no,no,no,policy,,,,,,,,,,,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,source,WHO (last updated 2024),WHO (last updated 2024),WHO (last updated 2024),WHO (last updated 2018),WHO (last updated 2024),WHO (last updated 2018),WHO (2024),WHO (last updated 2025),,,WHO (2016)
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyperlink,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/age-limits-on-premise-service-,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/age-limits-off-premise-sales,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/legal-blood-alcohol-concentration-(bac)-limits,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/random-breath-testing-(rbt)-use,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adopted-written-national-policy-on-alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/national-legislation-to-prevent-illegal-alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-recorded-per-capita-(15-)-consumption-(in-litres-of-pure-alcohol)-3-year-average-with-95-ci,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/average-daily-intake-in-grams-of-alcohol--population-15,,,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/penalties-for-drink-driving
Czech Republic,yes,civil law,18,18,Zero tolerance,Zero tolerance,Zero tolerance,Yes,Yes,Yes,12.7,26,11.4,41.3,No,,no,no,no,no,No,no,yes,yes,no,no,no,yes,no,policy,,,,,,,,,,,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,source,WHO (last updated 2024),WHO (last updated 2024),WHO (last updated 2024),WHO (last updated 2018),WHO (last updated 2024),WHO (last updated 2018),WHO (2024),WHO (last updated 2025),,,WHO (2016)
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyperlink,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/age-limits-on-premise-service-,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/age-limits-off-premise-sales,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/legal-blood-alcohol-concentration-(bac)-limits,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/random-breath-testing-(rbt)-use,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adopted-written-national-policy-on-alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/national-legislation-to-prevent-illegal-alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-recorded-per-capita-(15-)-consumption-(in-litres-of-pure-alcohol)-3-year-average-with-95-ci,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/average-daily-intake-in-grams-of-alcohol--population-15,,,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/penalties-for-drink-driving
England,yes,common law,18,18,sub-national,sub-national,sub_national,Yes,Yes,Spirits only,9.4,23.3,10.6,36.5,Yes,,yes,yes,yes,yes,Alcohol Abstinence and Monitoring Requirement (AAMR),no,yes,yes,no,yes,no,no,no,policy,,,,,,,,,,,
England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,source,WHO (last updated 2024),WHO (last updated 2024),WHO (last updated 2024),WHO (last updated 2018),WHO (last updated 2024),WHO (last updated 2018),WHO (2024),WHO (last updated 2025),UK Parliament (2023),GOV.UK (2022),WHO (2016)
England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyperlink,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/age-limits-on-premise-service-,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/age-limits-off-premise-sales,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/legal-blood-alcohol-concentration-(bac)-limits,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/random-breath-testing-(rbt)-use,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adopted-written-national-policy-on-alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/national-legislation-to-prevent-illegal-alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-recorded-per-capita-(15-)-consumption-(in-litres-of-pure-alcohol)-3-year-average-with-95-ci,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/average-daily-intake-in-grams-of-alcohol--population-15,https://researchbriefings.files.parliament.uk/documents/POST-PN-0700/POST-PN-0700.pdf,https://insidehmcts.blog.gov.uk/2022/06/01/a-sobering-success-for-alcohol-monitoring-requirements/,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/penalties-for-drink-driving
Wales,yes,common law,18,18,sub-national,sub-national,sub_national,Yes,Yes,Spirits only,9.4,23.3,10.6,36.5,Yes,,yes,yes,yes,yes,Alcohol Abstinence and Monitoring Requirement (AAMR),no,yes,yes,no,yes,no,no,no,policy,,,,,,,,,,,
Wales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,source,WHO (last updated 2024),WHO (last updated 2024),WHO (last updated 2024),WHO (last updated 2018),WHO (last updated 2024),WHO (last updated 2018),WHO (2024),WHO (last updated 2025),UK Parliament (2023),GOV.UK (2022),WHO (2016)
Wales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyperlink,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/age-limits-on-premise-service-,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/age-limits-off-premise-sales,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/legal-blood-alcohol-concentration-(bac)-limits,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/random-breath-testing-(rbt)-use,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adopted-written-national-policy-on-alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/national-legislation-to-prevent-illegal-alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-recorded-per-capita-(15-)-consumption-(in-litres-of-pure-alcohol)-3-year-average-with-95-ci,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/average-daily-intake-in-grams-of-alcohol--population-15,https://researchbriefings.files.parliament.uk/documents/POST-PN-0700/POST-PN-0700.pdf,https://insidehmcts.blog.gov.uk/2022/06/01/a-sobering-success-for-alcohol-monitoring-requirements/,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/penalties-for-drink-driving
Northern Ireland,yes,common law,18,18,sub-national,sub-national,sub_national,Yes,Yes,Spirits only,9.4,23.3,10.6,36.5,Yes,,yes,yes,yes,yes,Alcohol Abstinence and Monitoring Requirement (AAMR),no,yes,yes,no,yes,no,no,no,policy,,,,,,,,,,,
Northern Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,source,WHO (last updated 2024),WHO (last updated 2024),WHO (last updated 2024),WHO (last updated 2018),WHO (last updated 2024),WHO (last updated 2018),WHO (2024),WHO (last updated 2025),Justice Innovation (n.d.),GOV.UK (2022),WHO (2016)
Northern Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyperlink,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/age-limits-on-premise-service-,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/age-limits-off-premise-sales,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/legal-blood-alcohol-concentration-(bac)-limits,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/random-breath-testing-(rbt)-use,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adopted-written-national-policy-on-alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/national-legislation-to-prevent-illegal-alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-recorded-per-capita-(15-)-consumption-(in-litres-of-pure-alcohol)-3-year-average-with-95-ci,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/average-daily-intake-in-grams-of-alcohol--population-15,https://justiceinnovation.org/project/belfast-substance-misuse-court,https://insidehmcts.blog.gov.uk/2022/06/01/a-sobering-success-for-alcohol-monitoring-requirements/,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/penalties-for-drink-driving
Netherlands,yes,civil law,18,18,0.05%,0.02%,0.05%,Yes,Yes,Yes,7.8,18.9,8.6,29.5,No,,yes,yes,no,no,Teetotal Tag,yes,no,yes,no,yes,yes,yes,no,policy,,,,,,,,,,,
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,source,WHO (last updated 2024),WHO (last updated 2024),WHO (last updated 2024),WHO (last updated 2018),WHO (last updated 2024),WHO (last updated 2018),WHO (2024),WHO (last updated 2025),,Reuters (2020),WHO (2016)
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyperlink,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/age-limits-on-premise-service-,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/age-limits-off-premise-sales,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/legal-blood-alcohol-concentration-(bac)-limits,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/random-breath-testing-(rbt)-use,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adopted-written-national-policy-on-alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/national-legislation-to-prevent-illegal-alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-recorded-per-capita-(15-)-consumption-(in-litres-of-pure-alcohol)-3-year-average-with-95-ci,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/average-daily-intake-in-grams-of-alcohol--population-15,,https://www.reuters.com/article/technology/dutch-drink-offenders-to-get-teetotal-tag-to-keep-them-dry-idUSKBN23M0W9/,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/penalties-for-drink-driving
Poland,yes,civil law,18,18,0.02%,0.02%,0.02%,Yes,Yes,Yes,10.1,25.3,11.2,40.7,No,,no,no,no,no,Pilot study,yes,yes,yes,no,yes,yes,yes,yes,policy,,,,,,,,,,,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,source,WHO (last updated 2024),WHO (last updated 2024),WHO (last updated 2024),WHO (last updated 2018),WHO (last updated 2024),WHO (last updated 2018),WHO (2024),WHO (last updated 2025),,The Academy of Justice in Poland (2022),WHO (2016)
