country,covered,legal_system,min_purchase_age_on_premise,min_purchase_age_off_premise,bac_limit_general_pop_per_l,bac_limit_young_drivers_per_l,bac_limit_prof_drivers_per_l,random_breath_testing,national_alcohol_strategy_written_adopted,primary_legislation_illegal_alcohol,average_daily_intake_grams_pop_15+_bothsex,specialist_substance_use_courts,alcohol_treatment_requirements,national_system_monitoring_consumption,national_system_monitoring_health_consequence,national_system_monitoring_social_consequence,national_system_monitoring_policy_response,alcohol_tagging_requirements,row_type,source_min_purchase_age_on_premise,source_min_purchase_age_off_premise,source_bac_limits,source_random_breath_testing,source_national_alcohol_strategy_written_adopted,source_primary_legislation_illegal_alcohol,source_average_daily_intake_grams_pop_15+_bothsex,source_specialist_substance_use_courts,source_alcohol_tagging_requirements
Australia,yes,common law,18,18,0.05%,Zero tolerance,0.02%,Yes,Yes,No,22.3,Yes (by state),,yes,yes,no,no,Secure Continuous Remote Alcohol Monitoring (SCRAM) tags,policy,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,source,WHO (last updated 2024),WHO (last updated 2024),WHO (last updated 2024),WHO (last updated 2018),WHO (last updated 2024),WHO (last updated 2018),WHO (last updated 2025),AIJA (2026),SCRAM Systems (2026)
Australia,,,,,,,,,,,,,,,,,,,hyperlink,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/age-limits-on-premise-service-,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/age-limits-off-premise-sales,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/legal-blood-alcohol-concentration-(bac)-limits,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/random-breath-testing-(rbt)-use,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adopted-written-national-policy-on-alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/national-legislation-to-prevent-illegal-alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/average-daily-intake-in-grams-of-alcohol--population-15,https://aija.org.au/atjc-problem-solving-courts-2/,"https://www.scramsystems.com/media-room/alcohol-detection-anklets-showing-promise-in-nz/#:~:text=With%20COVID%2D19%2C%20Incidents%20of,the%20early%20days%20of%20abstinence.%E2%80%9D"
Botswana,yes,civil law,18,18,None,None,None,Yes,Yes,Yes,15.8,No,,no,yes,yes,no,No,policy,,,,,,,,,
Botswana,,,,,,,,,,,,,,,,,,,source,WHO (last updated 2024),WHO (last updated 2024),WHO (last updated 2024),WHO (last updated 2018),WHO (last updated 2024),WHO (last updated 2018),WHO (last updated 2025),,
Botswana,,,,,,,,,,,,,,,,,,,hyperlink,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/age-limits-on-premise-service-,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/age-limits-off-premise-sales,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/legal-blood-alcohol-concentration-(bac)-limits,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/random-breath-testing-(rbt)-use,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adopted-written-national-policy-on-alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/national-legislation-to-prevent-illegal-alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/average-daily-intake-in-grams-of-alcohol--population-15,,
Czech Republic,yes,civil law,18,18,Zero tolerance,Zero tolerance,Zero tolerance,Yes,Yes,Yes,26,No,,no,no,no,no,No,policy,,,,,,,,,
Czech Republic,,,,,,,,,,,,,,,,,,,source,WHO (last updated 2024),WHO (last updated 2024),WHO (last updated 2024),WHO (last updated 2018),WHO (last updated 2024),WHO (last updated 2018),WHO (last updated 2025),,
Czech Republic,,,,,,,,,,,,,,,,,,,hyperlink,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/age-limits-on-premise-service-,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/age-limits-off-premise-sales,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/legal-blood-alcohol-concentration-(bac)-limits,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/random-breath-testing-(rbt)-use,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adopted-written-national-policy-on-alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/national-legislation-to-prevent-illegal-alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/average-daily-intake-in-grams-of-alcohol--population-15,,
England,yes,common law,18,18,sub-national,sub-national,sub_national,Yes,Yes,Spirits only,23.3,Yes,,yes,yes,yes,yes,Alcohol Abstinence and Monitoring Requirement (AAMR),policy,,,,,,,,,
